Actor,Movies
 Blake Jenner,1.0
 Blanche Baker,1.0
 Blythe Auffarth,1.0
 Bob the Cat,1.0
 Bokeem Woodbine,1.0
 Bonnie Hunt,1.0
 Boyd Holbrook,1.0
 Brady Corbet,1.0
 Branden Coles,1.0
 Brandon Scott,1.0
 Brandon T. Jackson,1.0
 Brea Grant,1.0
 Bree Turner,1.0
 Brenda Blethyn,1.0
 Brenton Thwaites,1.0
 Brett Cullen,1.0
 Bria L. Murphy,1.0
 Brian Caspe,1.0
 Brian Geraghty,1.0
 Brian Howe,1.0
 Brian Marc,1.0
 Brian Milligan,1.0
 Briana Evigan,1.0
 Briana Shann,1.0
 Bridgette Barrett,1.0
 Brit Marling,1.0
 Brit Morgan,1.0
 Brittany Murphy,1.0
 Brittany Snow,1.0
 Brooke Shields,1.0
 Bruce Boxleitner,1.0
 Bruno Campos,1.0
 Bryan Greenberg,1.0
 Burt Young,1.0
 Bárbara Lennie,1.0
 C.H. Evans,1.0
 CCH Pounder,1.0
 Caitlyn Rund,1.0
 Callie Hernandez,1.0
 Camille Cottin,1.0
 Candice Bergen,1.0
 Cara Buono,1.0
 Cara Delevingne,1.0
 Carly Rae Jepsen,1.0
 Carmen Ejogo,1.0
 Carrie-Anne Moss,1.0
 Cary Elwes,1.0
 Cary Joji Fukunaga,1.0
 Cary-Hiroyuki Tagawa,1.0
 Cassie Ventura,1.0
 Catalina Sandino Moreno,1.0
 Catherine Bégin,1.0
 Catinca Untaru,1.0
 Chadwick Boseman,1.0
 Charles Dance,1.0
 Charles S. Dutton,1.0
 Charlie Heaton,1.0
 Charlie Tahan,1.0
 Chase Offerle,1.0
 Chase Williamson,1.0
 Chira Cassel,1.0
 Chloë Sevigny,1.0
 Chris Cooper,1.0
 Chris Klein,1.0
 Chris Messina,1.0
 Chris Wedge,1.0
 Christian Cooke,1.0
 Christian Distefano,1.0
 Christian Slater,1.0
 Christian Stevens,1.0
 Christian Stolte,1.0
 Christina Applegate,1.0
 Christina Grimmie,1.0
 Christopher Carley,1.0
 Christopher Fairbank,1.0
 Christopher Fitzgerald,1.0
 Christopher Jordan Wallace,1.0
 Christopher Lee,1.0
 Christopher McDonald,1.0
 Claire Danes,1.0
 Clara Mamet,1.0
 Clint Dyer,1.0
 Clémence Poésy,1.0
 Cole Konis,1.0
 Colin Firth,1.0
 Colin Hanks,1.0
 Colin Quinn,1.0
 Colleen Camp,1.0
 Colm Feore,1.0
 Colm Meaney,1.0
 Common,1.0
 Connie Nielsen,1.0
 Connor Paolo,1.0
 Corbin Reid,1.0
 Corey Hawkins,1.0
 Cosmo Jarvis,1.0
 Courteney Cox,1.0
 Courtney Halverson,1.0
 Craig Robinson,1.0
 Crispin Glover,1.0
 Cush Jumbo,1.0
 Dakota Blue Richards,1.0
 Dakota Fanning,1.0
 Dakota Goyo,1.0
 Dalia Hernández,1.0
 Damaine Radcliff,1.0
 Damien Marzette,1.0
 Damon Wayans Jr.,1.0
 Dan Fogler,1.0
 Dan Stevens,1.0
 Dana Fuchs,1.0
 Dane Cook,1.0
 Dane DeHaan,1.0
 Daniel Craig,1.0
 Daniel Eric Gold,1.0
 Daniel Giménez Cacho,1.0
 Daniel Henshall,1.0
 Daniel Olbrychski,1.0
 Daniel Radcliffe,1.0
 Daniel Zovatto,1.0
 Daniella Kertesz,1.0
 Danielle Nicolet,1.0
 Danny DeVito,1.0
 Danny Glover,1.0
 Danny Huston,1.0
 Danny Trejo,1.0
 Dave Bautista,1.0
 David Arquette,1.0
 David Denman,1.0
 David James,1.0
 David Oyelowo,1.0
 David Troughton,1.0
 David Wenham,1.0
 Dax Flame,1.0
 Dax Shepard,1.0
 De'Shawn Washington,1.0
 Dean Mumford,1.0
 Dean Norris,1.0
 Dean Waite,1.0
 Deanna Dunagan,1.0
 Demi Moore,1.0
 Demián Bichir,1.0
 Denis Leary,1.0
 Derek Jeter,1.0
 Derek Luke,1.0
 Derek Mears,1.0
 Dermot Mulroney,1.0
 Dev Patel,1.0
 Diane Lane,1.0
 Dick Van Dyke,1.0
 Diego Boneta,1.0
 Do-won Kwak,1.0
 Dolph Lundgren,1.0
 Dominique Abel,1.0
 Dominique McElligott,1.0
 Dominique Tipper,1.0
 Don Cheadle,1.0
 Don Thompson,1.0
 Donald Sutherland,1.0
 Dong-seok Ma,1.0
 Donna Murphy,1.0
 Donnie Yen,1.0
 Doona Bae,1.0
 Doug Jones,1.0
 Dougie McConnell,1.0
 Drew Barrymore,1.0
 Drew Seeley,1.0
 Duan Sanderson,1.0
 Dulé Hill,1.0
 Duncan Duff,1.0
 Duncan Joiner,1.0
 Ed Skrein,1.0
 Eddie Baroo,1.0
 Eddie Izzard,1.0
 Eddie Marsan,1.0
